stage_source,experiment_type,case_id,repetition_id,status,failure_category,failure_message,declared_sweep_variable,declared_sweep_value,worker_wall_s,T_SSE_s,peak_rss_bytes,J_A,J_D,selected_defender_action_id,selected_attacker_candidate_id,trajectory_sha256,independent_replay_passed
14.2C,stage14_2c_global_oracle_defender,global-oracle-defender-count-2-285658b91785,global-oracle-defender-count-2-285658b91785-r002,completed,,,defender_action_count,2,39.07957829999941,38.658650399998805,204066816,0.944086144839464,0.7814861193516704,1,26,827fe8228491a0469c901aed676fd640afac5870b094f2d62494678cd8acfb03,True
14.2C,stage14_2c_global_oracle_defender,global-oracle-defender-count-3-64ce341a5ade,global-oracle-defender-count-3-64ce341a5ade-r000,completed,,,defender_action_count,3,39.95642090000001,39.52578960000028,203735040,0.944086144839464,0.7814861193516704,2,26,827fe8228491a0469c901aed676fd640afac5870b094f2d62494678cd8acfb03,True
14.2C,stage14_2c_global_oracle_defender,global-oracle-defender-count-3-64ce341a5ade,global-oracle-defender-count-3-64ce341a5ade-r001,completed,,,defender_action_count,3,39.82617410000057,39.412574800000584,203612160,0.944086144839464,0.7814861193516704,2,26,827fe8228491a0469c901aed676fd640afac5870b094f2d62494678cd8acfb03,True
14.2C,stage14_2c_global_oracle_defender,global-oracle-defender-count-3-64ce341a5ade,global-oracle-defender-count-3-64ce341a5ade-r002,completed,,,defender_action_count,3,40.2886896,39.87574069999937,203915264,0.944086144839464,0.7814861193516704,2,26,827fe8228491a0469c901aed676fd640afac5870b094f2d62494678cd8acfb03,True
14.2C,stage14_2c_global_oracle_defender,global-oracle-defender-count-5-ffd9be48790c,global-oracle-defender-count-5-ffd9be48790c-r000,completed,,,defender_action_count,5,41.86069849999876,41.48064129999875,205287424,0.944086144839464,0.7814861193516704,4,26,827fe8228491a0469c901aed676fd640afac5870b094f2d62494678cd8acfb03,True
14.2C,stage14_2c_global_oracle_defender,global-oracle-defender-count-5-ffd9be48790c,global-oracle-defender-count-5-ffd9be48790c-r001,completed,,,defender_action_count,5,42.1561901999994,41.74851529999978,206331904,0.944086144839464,0.7814861193516704,4,26,827fe8228491a0469c901aed676fd640afac5870b094f2d62494678cd8acfb03,True
14.2C,stage14_2c_global_oracle_defender,global-oracle-defender-count-5-ffd9be48790c,global-oracle-defender-count-5-ffd9be48790c-r002,completed,,,defender_action_count,5,42.289601099999345,41.87861789999988,204607488,0.944086144839464,0.7814861193516704,4,26,827fe8228491a0469c901aed676fd640afac5870b094f2d62494678cd8acfb03,True
14.3,stage14_2c_global_oracle_baseline,global-oracle-canonical-anchor-1e73ac12d4de,global-oracle-canonical-anchor-1e73ac12d4de-r000,completed,,,baseline_anchor,0,59.697362599999906,59.27433060000112,205475840,0.944086144839464,0.7814861193516704,2,26,827fe8228491a0469c901aed676fd640afac5870b094f2d62494678cd8acfb03,True
14.3,stage14_2c_global_oracle_baseline,global-oracle-canonical-anchor-1e73ac12d4de,global-oracle-canonical-anchor-1e73ac12d4de-r001,completed,,,baseline_anchor,0,58.830654600000344,58.409136999998736,205864960,0.944086144839464,0.7814861193516704,2,26,827fe8228491a0469c901aed676fd640afac5870b094f2d62494678cd8acfb03,True
14.3,stage14_2c_global_oracle_baseline,global-oracle-canonical-anchor-1e73ac12d4de,global-oracle-canonical-anchor-1e73ac12d4de-r002,completed,,,baseline_anchor,0,58.80155070000001,58.40248650000103,206139392,0.944086144839464,0.7814861193516704,2,26,827fe8228491a0469c901aed676fd640afac5870b094f2d62494678cd8acfb03,True
14.3,stage14_2c_global_oracle_spatial,global-oracle-spatial-100m-327244e884b8,global-oracle-spatial-100m-327244e884b8-r000,completed,,,spatial_resolution_m,100.0,7.902117299998281,7.511610199999268,65593344,1.4049827579238952,0.912150500664634,2,26,91f6a4aa7c2edb29d55899913823c0969558eae38759e2bffc27ce34a32608a3,True
14.3,stage14_2c_global_oracle_spatial,global-oracle-spatial-100m-327244e884b8,global-oracle-spatial-100m-327244e884b8-r001,completed,,,spatial_resolution_m,100.0,7.9318129000002955,7.5287363000006735,65605632,1.4049827579238952,0.912150500664634,2,26,91f6a4aa7c2edb29d55899913823c0969558eae38759e2bffc27ce34a32608a3,True
14.3,stage14_2c_global_oracle_spatial,global-oracle-spatial-100m-327244e884b8,global-oracle-spatial-100m-327244e884b8-r002,completed,,,spatial_resolution_m,100.0,7.832381399999576,7.431165500000134,63016960,1.4049827579238952,0.912150500664634,2,26,91f6a4aa7c2edb29d55899913823c0969558eae38759e2bffc27ce34a32608a3,True
14.3,stage14_3_global_oracle_spatial,global-oracle-spatial-10p0m-75bac87ec5fd,global-oracle-spatial-10p0m-75bac87ec5fd-r000,completed,,,spatial_resolution_m,10.0,25.844399300003715,25.35800400000153,2255548416,0.28817767289340535,0.1926998964176631,1,25,e2f9e283bb26da7fedd283e66b027e1a8c0d36c5edd32de0ff97584eefd9f6c2,True
14.3,stage14_3_global_oracle_spatial,global-oracle-spatial-10p0m-75bac87ec5fd,global-oracle-spatial-10p0m-75bac87ec5fd-r001,completed,,,spatial_resolution_m,10.0,25.682983900005638,25.215006500002346,2256056320,0.28817767289340535,0.1926998964176631,1,25,e2f9e283bb26da7fedd283e66b027e1a8c0d36c5edd32de0ff97584eefd9f6c2,True
14.3,stage14_3_global_oracle_spatial,global-oracle-spatial-10p0m-75bac87ec5fd,global-oracle-spatial-10p0m-75bac87ec5fd-r002,completed,,,spatial_resolution_m,10.0,26.17837359999976,25.682440600001428,2240978944,0.28817767289340535,0.1926998964176631,1,25,e2f9e283bb26da7fedd283e66b027e1a8c0d36c5edd32de0ff97584eefd9f6c2,True
14.3,stage14_3_global_oracle_spatial,global-oracle-spatial-11p11111111111111m-dce0fc8b6d5d,global-oracle-spatial-11p11111111111111m-dce0fc8b6d5d-r000,worker_failure,nonzero_worker_exit,"Traceback (most recent call last):
  File ""C:\Users\jeffe\Desktop\git\glider_hybrid_control\3D_0827\stage14_3_worker.py"", line 65, in <module>
    main()
    ~~~~^^
  File ""C:\Users\jeffe\Desktop\git\glider_hybrid_control\3D_0827\stage14_3_worker.py"", line 59, in main
    payload = run_worker(configuration)
  File ""C:\Users\jeffe\Desktop\git\glider_hybrid_control\3D_0827\stage14_3_worker.py"", line 30, in run_worker
    payload = run_worker_case(configuration)
  File ""C:\Users\jeffe\Desktop\git\glider_hybrid_control\3D_0827\stage14_2c_worker.py"", line 459, in run_worker_case
    payload = _global_payload(configuration)
  File ""C:\Users\jeffe\Desktop\git\glider_hybrid_control\3D_0827\stage14_2c_worker.py"", line 384, in _global_payload
    timing = decompose_exact_sse_timing(run, validation_time_s=validation_s)
  File ""C:\Users\jeffe\Desktop\git\glider_hybrid_control\3D_0827\stage14_profiling.py"", line 126, in decompose_exact_sse_timing
    residual = _nonnegative_residual(
        timing.total_attacker_br_s,
        named_parts,
        ""Attacker best-response"",
    )
  File ""C:\Users\jeffe\Desktop\git\glider_hybrid_control\3D_0827\stage14_profiling.py"", line 95, in _nonnegative_residual
    raise RuntimeError(f""{name} timing components exceed their enclosing wall time"")
RuntimeError: Attacker best-response timing components exceed their enclosing wall time",spatial_resolution_m,11.11111111111111,19.857473899995966,,1636089856,,,,,,
